Source	Target	Count
5	5	52766
2	5	122
2	2	426
2	6	9
2	7	2557
2	9	21
2	3	23
2	10	21
1	5	122
4	11	70
3	3	132530
1	3	2
1	7	1
4	12	2
4	13	6
4	14	10
4	15	2
4	16	2
4	17	2
5	1	10
4	18	2
4	5	2
4	19	2
4	20	2
3	21	2990
6	9	78
6	5	1
6	2	4
7	7	15459
11	11	6425
11	12	9
11	13	11
11	14	45
11	15	13
11	16	31
11	17	5
11	18	3
11	27	6
7	9	10
7	5	570
7	3	50
7	10	11
11	5	27
11	19	3
11	20	8
5	7	6
7	2	1908
7	22	9
9	6	4
10	10	2749
10	23	12
10	24	5
10	3	335
10	25	147
10	2	163
10	26	148
13	13	7063
14	14	27
14	27	1
13	15	171
13	14	180
13	28	1
5	3	542
14	11	10
14	13	4
14	15	5
15	15	41
3	14	4
13	27	170
16	11	33
16	16	50
13	16	3
18	18	1862
11	3	7
19	19	947
3	32	2
3	25	3
3	33	1
3	5	28
3	2	1
3	27	3
18	27	82
18	30	93
18	31	80
13	11	6
5	11	33
5	13	14
20	20	6318
20	15	59
20	34	8
20	35	8
20	36	8
20	37	16
20	38	8
20	25	6
20	39	6
20	40	6
20	41	6
20	27	29
20	42	6
20	43	6
20	44	6
20	30	8
20	45	6
20	46	5
20	18	14
20	4	6
21	3	43
21	21	1
9	9	24834
7	47	8
7	49	33
9	2	1366
25	51	576
25	25	11135
25	3	579
26	26	3007
26	10	591
9	50	5
22	7	1
23	23	3310
23	10	560
24	24	25
24	23	1
24	2	1
24	6	1
23	6	329
23	2	329
7	52	1
7	53	84
7	50	9
7	54	25
27	5	60
11	55	3
5	56	3
15	27	1
15	13	1
3	51	13
3	58	2
15	11	1
5	9	6
5	57	6
27	27	23
27	56	14
30	5	149
31	5	38
3	59	317
3	47	972
30	30	33
31	31	4
32	32	32
32	51	6
32	61	6
33	33	9700
33	5	450
33	51	458
5	14	4
36	36	36
36	62	4
36	63	2
36	30	3
35	5	10
37	37	46
35	35	1968
44	5	125
45	5	69
43	43	8
43	5	106
44	44	10
46	46	1
45	45	8
46	73	1
46	34	1
39	39	16203
39	37	32
40	5	77
39	64	53
39	5	4942
39	65	100
39	66	44
39	67	12
39	68	9
41	5	37
40	69	2
40	70	2
40	35	2
40	40	7
39	40	8
39	72	8
39	71	17
39	3	701
41	41	3
42	5	92
42	42	14
9	44	14
47	47	2049
49	49	8959
47	59	17
49	5	2062
49	3	376
49	2	293
9	5	10
23	26	1
3	24	30
51	5	109
51	77	1
51	78	1
51	3	3
51	7	1
51	25	2
51	10	1
51	47	2
51	51	16
50	5	50
50	50	7
26	6	261
26	2	261
7	42	5
52	5	22
52	52	1
7	43	7
7	79	1
50	49	1
54	5	295
54	88	25
54	54	23
5	89	2
5	25	36
53	53	3765
53	80	163
53	81	153
53	82	156
53	83	151
53	84	151
53	85	151
53	86	151
5	90	4
50	87	3
5	2	176
